"chrom","start","end","GeneCount","unlist(genhits)","CHR","BP","P"
"chr6",47401350,47610850,1,"Zm00001d035774","chr6",47431880,2.46472041148511e-06
"chr6",52780350,53058550,2,"Zm00001d035818;Zm00001d035819","chr6",52784657,2.90967911546864e-06
"chr6",54812150,55361750,3,"Zm00001d035842;Zm00001d035843;Zm00001d035844","chr6",55330448,3.02758589912637e-06
"chr10",10840950,10853650,1,"Zm00001d023585","chr10",10843910,3.16060735240851e-06
"chr10",104795,133050,1,"Zm00001d023208","chr10",128669,3.16632179752732e-06
"chr2",88261950,88326250,1,"Zm00001d004164","chr2",88279817,3.22190590933824e-06
"chr2",24287750,24356150,2,"Zm00001d002842;Zm00001d002843","chr2",24296117,3.4702465849747e-06
"chr6",48494050,48662550,0,"","chr6",48496073,3.63765293056228e-06
"chr4",83359850,83945350,4,"Zm00001d050357;Zm00001d050358;Zm00001d050359;Zm00001d050365","chr4",83774318,3.83659624293907e-06
"chr3",56433750,56616350,1,"Zm00001d040652","chr3",56438468,4.0577113617749e-06
"chr1",16925450,16989150,4,"Zm00001d027893;Zm00001d027894;Zm00001d027895;Zm00001d027896","chr1",16971493,4.19358889859587e-06
"chr1",143303350,143506750,3,"Zm00001d030551;Zm00001d030553;Zm00001d030554","chr1",143319670,4.20514493940438e-06
"chr5",46340750,46491450,2,"Zm00001d014425;Zm00001d014426","chr5",46341139,4.22241548957547e-06
"chr6",123793150,123849450,1,"Zm00001d037383","chr6",123802402,4.29548522371848e-06
"chr5",199056550,199057250,1,"Zm00001d017539","chr5",199057194,4.37804191027641e-06
"chr4",42980850,43040450,1,"Zm00001d049748","chr4",42989599,5.16501213110644e-06
"chr2",124035450,124135550,0,"","chr2",124123129,5.3170971076886e-06
"chr1",184317150,184378550,1,"Zm00001d031266","chr1",184359854,5.42580535270834e-06
"chr1",224594450,224653850,1,"Zm00001d032380","chr1",224653303,5.75628448259505e-06
"chr3",133869850,133883350,1,"Zm00001d041700","chr3",133872319,5.91343412084125e-06
"chr7",170960150,170985150,3,"Zm00001d022133;Zm00001d022134;Zm00001d022135","chr7",170973540,6.3095495325988e-06
"chr10",129675650,129683250,1,"Zm00001d025789","chr10",129681060,6.31900208344549e-06
"chr1",108564850,108631250,1,"Zm00001d030143","chr1",108595367,6.49646215144012e-06
"chr10",562350,600650,1,"Zm00001d023215","chr10",598472,6.75870022496209e-06
"chr7",46665050,46923450,2,"Zm00001d019628;Zm00001d019629","chr7",46804005,6.8409755653457e-06
"chr3",4756850,4809050,1,"Zm00001d039454","chr3",4758983,6.87084212738517e-06
"chr1",172633350,172718350,1,"Zm00001d030998","chr1",172715157,6.94534118298423e-06
"chr1",224965150,225099250,2,"Zm00001d032386;Zm00001d032387","chr1",225074721,6.9543255641745e-06
"chr2",112629750,112707450,1,"Zm00001d004448","chr2",112659083,7.14835551863785e-06
"chr10",129724950,129806150,1,"Zm00001d025793","chr10",129736865,7.17533378833335e-06
"chr3",139485750,139486950,1,"Zm00001d041827","chr3",139486655,7.3154061637682e-06
"chr1",170354050,170376850,0,"","chr1",170357603,8.13521079577196e-06
"chr9",8953850,9046250,2,"Zm00001d044975;Zm00001d044976","chr9",8984201,8.49581311548215e-06
"chr2",206968950,206975650,1,"Zm00001d006410","chr2",206974650,8.73100975889433e-06
"chr1",15835450,15989750,1,"Zm00001d027869","chr1",15970535,9.15700209438919e-06
"chr6",57661850,57713850,0,"","chr6",57685124,9.38584892375572e-06
"chr10",129905250,129946550,1,"Zm00001d025799","chr10",129942883,9.49758283559484e-06
"chr5",199001950,199056550,0,"","chr5",199055173,9.50320439973739e-06
"chr10",50531350,50569550,0,"","chr10",50566776,9.59425894680546e-06
"chr9",95015050,95193650,1,"Zm00001d046545","chr9",95191309,9.68870621488726e-06
"chr5",210808850,210814350,2,"Zm00001d017954;Zm00001d017955","chr5",210812687,9.8666450954764e-06
"chr1",15989750,16039750,5,"Zm00001d027870;Zm00001d027871;Zm00001d027872;Zm00001d027873;Zm00001d027874","chr1",16016773,1.04534805448427e-05
"chr3",211895550,211907350,1,"Zm00001d043845","chr3",211902097,1.09008793296166e-05
"chr7",85573550,85625250,1,"Zm00001d020014","chr7",85617761,1.12589609181629e-05
"chr4",137395950,137738750,8,"Zm00001d051021;Zm00001d051022;Zm00001d051023;Zm00001d051025;Zm00001d051026;Zm00001d051029;Zm00001d051030;Zm00001d051031","chr4",137667967,1.1366675450734e-05
"chr2",62543150,62616650,0,"","chr2",62592850,1.18363000608635e-05
"chr5",66200150,66222550,1,"Zm00001d014866","chr5",66200788,1.20090831078812e-05
"chr3",139451750,139483450,1,"Zm00001d041826","chr3",139478845,1.20447786559632e-05
"chr2",12850350,12896650,1,"Zm00001d002446","chr2",12874974,1.21556509597981e-05
"chr2",33675350,33825850,5,"Zm00001d003146;Zm00001d003147;Zm00001d003148;Zm00001d003149;Zm00001d003150","chr2",33778128,1.230386633454e-05
"chr6",49045850,49166050,0,"","chr6",49153004,1.31000289600141e-05
"chr9",111110350,111136650,1,"Zm00001d046927","chr9",111129445,1.31893273724251e-05
"chr5",77110250,77120050,1,"Zm00001d015152","chr5",77118995,1.34118338764974e-05
"chr3",136319950,136384850,1,"Zm00001d041762","chr3",136380645,1.35040523883981e-05
"chr9",110815450,110884150,0,"","chr9",110881778,1.35623823294494e-05
"chr4",140858250,141227950,2,"Zm00001d051079;Zm00001d051080","chr4",141102901,1.3768195633461e-05
"chr1",15581950,15584750,1,"Zm00001d027861","chr1",15582853,1.40803085200711e-05
"chr2",215955950,215973850,3,"Zm00001d006753;Zm00001d006754;Zm00001d006755","chr2",215964894,1.51260638727048e-05
"chr6",124968750,125032550,0,"","chr6",125006739,1.5181074842569e-05
"chr7",156201850,156253650,3,"Zm00001d021565;Zm00001d021566;Zm00001d021567","chr7",156212533,1.60327258490195e-05
"chr4",137943150,138155350,2,"Zm00001d051036;Zm00001d051039","chr4",138044251,1.63083277402824e-05
"chr1",224653850,224698750,2,"Zm00001d032380;Zm00001d032381","chr1",224661560,1.64886715128415e-05
"chr4",43482650,43862850,6,"Zm00001d049761;Zm00001d049762;Zm00001d049763;Zm00001d049764;Zm00001d049765;Zm00001d049766","chr4",43541102,1.67630413018264e-05
"chr2",49271650,49365050,2,"Zm00001d003598;Zm00001d003599","chr2",49334607,1.72569022605061e-05
"chr1",47215450,47383950,1,"Zm00001d028812","chr1",47217344,1.72926931398982e-05
"chr9",113480550,113512350,3,"Zm00001d046968;Zm00001d046969;Zm00001d046970","chr9",113502161,1.76761076303118e-05
"chr1",224087550,224227750,4,"Zm00001d032368;Zm00001d032370;Zm00001d032371;Zm00001d032372","chr1",224114764,1.81173557465272e-05
"chr3",211877250,211895550,0,"","chr3",211894196,1.81468228994997e-05
"chr6",48399750,48494050,1,"Zm00001d035783","chr6",48490129,1.82354380461711e-05
"chr9",117746850,117832750,3,"Zm00001d047081;Zm00001d047084;Zm00001d047085","chr9",117753670,1.86557080278645e-05
"chr7",159582750,159697350,2,"Zm00001d021669;Zm00001d021672","chr7",159691486,1.91022035823446e-05
"chr5",154190650,154202750,1,"Zm00001d016260","chr5",154201636,1.91856533640039e-05
"chr10",150317850,150336450,1,"Zm00001d026698","chr10",150317939,1.93712570466917e-05
"chr9",110145250,110217650,1,"Zm00001d046912","chr9",110202201,1.98457432495827e-05
"chr6",46846050,46947750,3,"Zm00001d035769;Zm00001d035770;Zm00001d035772","chr6",46917931,2.00502706600851e-05
"chr5",49321150,49402350,1,"Zm00001d014472","chr5",49398890,2.07322794226858e-05
"chr3",48590450,48602050,2,"Zm00001d040535;Zm00001d040536","chr3",48601470,2.08122147930965e-05
"chr6",46274450,46357850,4,"Zm00001d035763;Zm00001d035764;Zm00001d035765;Zm00001d035766","chr6",46353977,2.08694036764223e-05
"chr2",225910350,225964250,2,"Zm00001d007257;Zm00001d007258","chr2",225924062,2.20800331002476e-05
"chr2",106771050,106828450,1,"Zm00001d004371","chr2",106775210,2.28643146410707e-05
"chr4",42402650,42737150,4,"Zm00001d049742;Zm00001d049743;Zm00001d049744;Zm00001d049745","chr4",42454611,2.28885858984063e-05
"chr6",57874850,57982250,2,"Zm00001d035871;Zm00001d035872","chr6",57910407,2.29823786379413e-05
"chr5",198083750,198244750,2,"Zm00001d017512;Zm00001d017513","chr5",198244604,2.29861198588496e-05
"chr5",202866350,202872750,1,"Zm00001d017641","chr5",202867608,2.29999584955069e-05
"chr6",58185450,58280450,4,"Zm00001d035875;Zm00001d035876;Zm00001d035877;Zm00001d035878","chr6",58238148,2.32040245086798e-05
"chr9",130866650,130897450,2,"Zm00001d047460;Zm00001d047461","chr9",130888882,2.32314659168449e-05
"chr4",43040450,43212150,4,"Zm00001d049750;Zm00001d049752;Zm00001d049753;Zm00001d049756","chr4",43097627,2.33570395179815e-05
"chr7",155889050,156069350,2,"Zm00001d021557;Zm00001d021558","chr7",155981319,2.35350844756042e-05
"chr9",110922350,110960450,1,"Zm00001d046923","chr9",110937322,2.3553753618778e-05
"chr9",109485850,109896150,6,"Zm00001d046897;Zm00001d046898;Zm00001d046900;Zm00001d046902;Zm00001d046903;Zm00001d046905","chr9",109491463,2.36804487251092e-05
"chr5",142449450,142499250,1,"Zm00001d016064","chr5",142467791,2.42816318374172e-05
"chr1",34698050,34805650,2,"Zm00001d028428;Zm00001d028429","chr1",34704760,2.44652226982252e-05
"chr2",161877550,162083450,7,"Zm00001d005160;Zm00001d005161;Zm00001d005162;Zm00001d005163;Zm00001d005164;Zm00001d005165;Zm00001d005166","chr2",161885767,2.49297345992766e-05
"chr7",158603450,158651650,3,"Zm00001d021632;Zm00001d021633;Zm00001d021634","chr7",158606564,2.54106420050038e-05
"chr4",62226050,62597950,5,"Zm00001d050047;Zm00001d050048;Zm00001d050049;Zm00001d050051;Zm00001d050052","chr4",62588544,2.56560085594102e-05
"chr1",12450250,12521550,2,"Zm00001d027743;Zm00001d027744","chr1",12504169,2.56724554213697e-05
"chr3",209014050,209047950,3,"Zm00001d043748;Zm00001d043750;Zm00001d043751","chr3",209047063,2.59081267691067e-05
"chr1",16039750,16205350,2,"Zm00001d027874;Zm00001d027875","chr1",16041105,2.64049954971785e-05
"chr1",32485650,32571150,1,"Zm00001d028374","chr1",32502388,2.69426327608218e-05
"chr1",169640450,169931850,1,"Zm00001d030969","chr1",169642995,2.72245459710097e-05
"chr6",56289050,56486550,2,"Zm00001d035854;Zm00001d035855","chr6",56475244,2.78459272666373e-05
"chr5",199057250,199060550,1,"Zm00001d017539","chr5",199059192,2.88086974979864e-05
"chr2",101819550,101915550,0,"","chr2",101865723,2.95618393785747e-05
"chr2",10604950,10633250,3,"Zm00001d002341;Zm00001d002342;Zm00001d002343","chr2",10614345,3.00271727685171e-05
"chr3",221623050,221634450,2,"Zm00001d044193;Zm00001d044194","chr3",221624562,3.09301272222212e-05
"chr5",203497650,203504850,0,"","chr5",203502075,3.12540659056533e-05
"chr1",62241150,62418650,3,"Zm00001d029205;Zm00001d029206;Zm00001d029207","chr1",62418013,3.16139405191842e-05
"chr4",62597950,62751150,2,"Zm00001d050052;Zm00001d050054","chr4",62672658,3.19979414413883e-05
"chr1",237676350,237758750,1,"Zm00001d032768","chr1",237683546,3.25190906780745e-05
"chr6",57741050,57754650,1,"Zm00001d035869","chr6",57752834,3.28470652168175e-05
"chr6",53280050,53486950,1,"Zm00001d035823","chr6",53482026,3.38610229469634e-05
"chr7",9358650,9390250,0,"","chr7",9376150,3.41600780913966e-05
"chr5",137205950,137450550,1,"Zm00001d015989","chr5",137224234,3.4643078278838e-05
"chr1",15268450,15319850,2,"Zm00001d027853;Zm00001d027854","chr1",15302809,3.48756057326454e-05
"chr7",150656050,150676950,2,"Zm00001d021388;Zm00001d021389","chr7",150666757,3.58085190049577e-05
"chr9",110296550,110387250,2,"Zm00001d046914;Zm00001d046915","chr9",110360701,3.61429154306848e-05
"chr6",47274250,47401350,1,"Zm00001d035773","chr6",47340221,3.61525807907589e-05
"chr2",9141750,9178350,3,"Zm00001d002266;Zm00001d002267;Zm00001d002268","chr2",9171723,3.64846070264722e-05
"chr6",48864350,49045850,1,"Zm00001d035787","chr6",49029086,3.69302013825839e-05
"chr6",138939950,138955250,2,"Zm00001d037828;Zm00001d037829","chr6",138948770,3.7804869508823e-05
"chr9",158609650,158673750,4,"Zm00001d048554;Zm00001d048555;Zm00001d048556;Zm00001d048558","chr9",158666173,3.80276465121373e-05
"chr1",283069150,283107750,4,"Zm00001d034068;Zm00001d034069;Zm00001d034070;Zm00001d034071","chr1",283075593,3.94315527970178e-05
"chr6",150860050,150886450,3,"Zm00001d038185;Zm00001d038186;Zm00001d038187","chr6",150866187,3.97702317347515e-05
"chr5",138068550,138122450,2,"Zm00001d015995;Zm00001d015997","chr5",138121329,3.98302141389418e-05
"chr9",150574050,150637250,2,"Zm00001d048132;Zm00001d048133","chr9",150599604,3.98460202731605e-05
"chr6",123900750,123953250,1,"Zm00001d037384","chr6",123932158,4.02091095689642e-05
"chr9",108710950,108783050,2,"Zm00001d046881;Zm00001d046882","chr9",108779502,4.10402431259168e-05
"chr6",57465350,57530850,2,"Zm00001d035864;Zm00001d035865","chr6",57506246,4.14707282883789e-05
"chr7",109550450,109715950,1,"Zm00001d020365","chr7",109594702,4.17257236668178e-05
"chr6",56974950,57085450,0,"","chr6",57058409,4.24854132335936e-05
"chr10",150149850,150186250,1,"Zm00001d026696","chr10",150180204,4.26556064875879e-05
"chr3",22590050,22640050,1,"Zm00001d040005","chr3",22638830,4.33986614413025e-05
"chr2",20680550,20713050,2,"Zm00001d002732;Zm00001d002733","chr2",20711541,4.38350523060656e-05
"chr1",171071250,171346450,1,"Zm00001d030980","chr1",171162186,4.44057729258419e-05
"chr6",58502250,58561250,1,"Zm00001d035889","chr6",58517293,4.5449693711061e-05
"chr1",150325550,150419950,2,"Zm00001d030642;Zm00001d030643","chr1",150417193,4.77987534274937e-05
"chr4",22926250,22977650,4,"Zm00001d049251;Zm00001d049252;Zm00001d049253;Zm00001d049254","chr4",22949063,4.80131177107039e-05
"chr5",26324950,26334550,1,"Zm00001d013960","chr5",26332306,4.82077196400936e-05
"chr1",108704350,108902850,2,"Zm00001d030148;Zm00001d030149","chr1",108715010,4.83522283361789e-05
"chr6",55594250,55814050,1,"Zm00001d035848","chr6",55728158,4.87751177257885e-05
"chr9",110036550,110047150,0,"","chr9",110043714,4.95052677732073e-05
"chr1",76994950,77079350,1,"Zm00001d029573","chr1",77066219,4.98897259905279e-05
"chr1",275734450,275808350,1,"Zm00001d033849","chr1",275751630,5.0032028068269e-05
"chr4",36317850,36483250,1,"Zm00001d049588","chr4",36431187,5.07235299556658e-05
"chr3",211957850,212001850,3,"Zm00001d043847;Zm00001d043849;Zm00001d043850","chr3",211972874,5.1447378748563e-05
"chr2",199335350,199433850,3,"Zm00001d006128;Zm00001d006130;Zm00001d006131","chr2",199409881,5.20731185905643e-05
"chr5",66262250,66315550,1,"Zm00001d014867","chr5",66263296,5.20985005850899e-05
"chr9",110449750,110562550,0,"","chr9",110455725,5.25905540686306e-05
"chr6",123154250,123359050,1,"Zm00001d037371","chr6",123322568,5.3155104134649e-05
"chr10",150772650,150847850,2,"Zm00001d026711;Zm00001d026712","chr10",150827693,5.37027561897971e-05
"chr7",156643450,156710850,2,"Zm00001d021576;Zm00001d021577","chr7",156645356,5.39507854982649e-05
"chr5",192638050,192701550,1,"Zm00001d017323","chr5",192699874,5.39623210857491e-05
"chr6",57358750,57465350,2,"Zm00001d035862;Zm00001d035863","chr6",57397529,5.40271886490509e-05
"chr7",130118950,130169150,2,"Zm00001d020722;Zm00001d020723","chr7",130158382,5.4150476963649e-05
"chr6",57530850,57573050,0,"","chr6",57544782,5.48385009212705e-05
"chr10",150496450,150559650,2,"Zm00001d026705;Zm00001d026706","chr10",150497220,5.52526707632319e-05
"chr3",136479850,136543650,0,"","chr3",136542483,5.5558334250781e-05
"chr1",109442850,109498050,1,"Zm00001d030159","chr1",109469836,5.59505391258054e-05
"chr5",211409450,211415550,2,"Zm00001d017986;Zm00001d017987","chr5",211412139,5.6534868254029e-05
"chr1",226325350,226357250,2,"Zm00001d032434;Zm00001d032435","chr1",226334660,5.67295231148688e-05
"chr3",211853950,211877250,0,"","chr3",211859629,5.67881647897758e-05
"chr5",89550150,89576550,2,"Zm00001d015425;Zm00001d015426","chr5",89575945,5.69770126607034e-05
"chr2",222344450,222385150,2,"Zm00001d007103;Zm00001d007105","chr2",222363210,5.75411523888932e-05
"chr6",89974350,90174750,3,"Zm00001d036481;Zm00001d036482;Zm00001d036483","chr6",90061853,5.790786989122e-05
"chr1",110697850,110826350,3,"Zm00001d030177;Zm00001d030179;Zm00001d030180","chr1",110784199,5.79705353777198e-05
"chr5",89379550,89458950,1,"Zm00001d015423","chr5",89379559,5.85051187621455e-05
"chr5",158177850,158250750,0,"","chr5",158241791,5.85250098919987e-05
"chr3",160286850,160319350,0,"","chr3",160319313,5.96038926407513e-05
"chr3",210288750,210373850,4,"Zm00001d043792;Zm00001d043793;Zm00001d043794;Zm00001d043795","chr3",210372419,6.25905260325112e-05
"chr1",206068550,206265950,5,"Zm00001d031901;Zm00001d031902;Zm00001d031903;Zm00001d031904;Zm00001d031906","chr1",206162513,6.28603934865649e-05
"chr6",146497650,146566850,3,"Zm00001d038054;Zm00001d038056;Zm00001d038057","chr6",146556312,6.31205686284621e-05
"chr3",136196650,136216650,1,"Zm00001d041759","chr3",136204223,6.32753196328416e-05
"chr6",150421550,150423050,1,"Zm00001d038170","chr6",150422020,6.4345015694909e-05
"chr1",64429150,64491150,1,"Zm00001d029272","chr1",64438311,6.53666406556461e-05
"chr4",74642050,74844050,3,"Zm00001d050225;Zm00001d050227;Zm00001d050228","chr4",74761024,6.54718451167756e-05
"chr9",138533350,138597850,2,"Zm00001d047663;Zm00001d047664","chr9",138534514,6.65527133719279e-05
"chr2",107028650,107164150,2,"Zm00001d004375;Zm00001d004376","chr2",107036370,6.66019950643006e-05
"chr1",117672250,117750750,1,"Zm00001d030266","chr1",117694781,6.67132039866283e-05
"chr10",142870250,142873650,1,"Zm00001d026287","chr10",142872380,6.78886277594695e-05
"chr6",48123250,48201450,0,"","chr6",48166344,6.81147443763191e-05
"chr10",126886750,126928650,3,"Zm00001d025706;Zm00001d025707;Zm00001d025709","chr10",126886886,6.87699793130293e-05
"chr1",117628950,117654550,1,"Zm00001d030266","chr1",117654019,6.91043206474508e-05
"chr7",155411150,155549550,5,"Zm00001d021541;Zm00001d021542;Zm00001d021544;Zm00001d021545;Zm00001d021546","chr7",155504114,6.97314362332038e-05
"chr3",157665150,157723750,2,"Zm00001d042258;Zm00001d042259","chr3",157666910,7.01998556953205e-05
"chr1",231202250,231323350,2,"Zm00001d032582;Zm00001d032584","chr1",231210447,7.02536710748887e-05
"chr1",26125750,26176850,2,"Zm00001d028203;Zm00001d028204","chr1",26138863,7.06121659826879e-05
"chr1",41667350,41776150,4,"Zm00001d028643;Zm00001d028645;Zm00001d028646;Zm00001d028647","chr1",41699722,7.088912614926e-05
"chr4",151943550,152183850,2,"Zm00001d051290;Zm00001d051291","chr4",151994310,7.09176202678075e-05
"chr2",62259650,62333050,1,"Zm00001d003848","chr2",62321007,7.20503324375162e-05
"chr4",137738750,137943150,1,"Zm00001d051033","chr4",137845599,7.32239311216419e-05
"chr5",46967950,47068950,0,"","chr5",46968411,7.32357111657772e-05
"chr3",118921650,119025950,1,"Zm00001d041426","chr3",119022482,7.33518745891495e-05
"chr3",159330850,159387450,1,"Zm00001d042292","chr3",159342427,7.40185072759452e-05
"chr3",160610150,160679950,0,"","chr3",160617870,7.49087925326931e-05
"chr5",66104950,66175150,1,"Zm00001d014864","chr5",66137377,7.49570693837168e-05
"chr2",222744650,222788650,1,"Zm00001d007121","chr2",222782266,7.49637451639929e-05
"chr5",137786950,137907350,1,"Zm00001d015992","chr5",137792595,7.50603318292475e-05
"chr9",111328450,111476950,1,"Zm00001d046929","chr9",111343991,7.65863013485735e-05
"chr3",2864650,2928250,0,"","chr3",2926792,7.67566555925418e-05
"chr4",42737150,42980850,1,"Zm00001d049746","chr4",42782740,7.70584501207979e-05
"chr1",182805350,182935050,3,"Zm00001d031230;Zm00001d031231;Zm00001d031232","chr1",182806837,7.77246794556335e-05
"chr4",68088150,68360350,4,"Zm00001d050131;Zm00001d050132;Zm00001d050133;Zm00001d050134","chr4",68204544,7.83631549871108e-05
"chr9",9118550,9149750,1,"Zm00001d044980","chr9",9127987,7.89622535431093e-05
"chr6",139098050,139194450,3,"Zm00001d037832;Zm00001d037833;Zm00001d037834","chr6",139100402,8.39386757787216e-05
"chr1",149175250,149358150,2,"Zm00001d030622;Zm00001d030623","chr1",149357541,8.43239372675677e-05
"chr1",28808550,28856050,2,"Zm00001d028274;Zm00001d028275","chr1",28826119,8.49597342481099e-05
"chr2",206614950,206927750,5,"Zm00001d006402;Zm00001d006404;Zm00001d006405;Zm00001d006406;Zm00001d006408","chr2",206925964,8.50341799967804e-05
"chr3",136384850,136426150,0,"","chr3",136390196,8.50807903852275e-05
"chr3",204311250,204366450,1,"Zm00001d043578","chr3",204365637,8.56348797230961e-05
"chr2",53811050,53857150,2,"Zm00001d003677;Zm00001d003678","chr2",53850130,8.60024130586195e-05
"chr2",124660550,124806850,4,"Zm00001d004640;Zm00001d004641;Zm00001d004642;Zm00001d004644","chr2",124723933,8.64107113777504e-05
"chr5",46723450,46802550,0,"","chr5",46801303,8.7430039598394e-05
"chr6",139324250,139355750,1,"Zm00001d037841","chr6",139349110,8.8503103254422e-05
"chr3",214418850,214447250,1,"Zm00001d043947","chr3",214446358,8.93356205411902e-05
"chr6",85755050,85823750,2,"Zm00001d036363;Zm00001d036364","chr6",85810156,8.95338339450136e-05
"chr3",191722350,191737650,0,"","chr3",191727305,8.98768997324103e-05
"chr3",181957150,182019650,1,"Zm00001d042848","chr3",181958489,9.01470153104123e-05
"chr4",43862850,44014750,4,"Zm00001d049767;Zm00001d049768;Zm00001d049769;Zm00001d049770","chr4",43886941,9.02920778847369e-05
"chr3",189658550,189682850,0,"","chr3",189658706,9.13622505302504e-05
"chr3",158535450,158564350,1,"Zm00001d042275","chr3",158563304,9.18421956420472e-05
"chr10",35354850,35427850,0,"","chr10",35355536,9.20067412204056e-05
"chr10",110563550,110575150,2,"Zm00001d025237;Zm00001d025238","chr10",110574694,9.22216729224276e-05
"chr6",139355750,139435650,1,"Zm00001d037842","chr6",139378930,9.24432673125258e-05
"chr2",125525750,125582950,0,"","chr2",125544773,9.30702799264583e-05
"chr6",58778750,58866150,2,"Zm00001d035901;Zm00001d035902","chr6",58858966,9.38632504603742e-05
"chr5",188872950,188881550,2,"Zm00001d017205;Zm00001d017206","chr5",188880300,9.43274812843547e-05
"chr2",205423850,205441350,2,"Zm00001d006353;Zm00001d006354","chr2",205437361,9.434902739407e-05
"chr10",138770350,138789350,0,"","chr10",138789244,9.44421985079078e-05
"chr3",199608650,199616150,1,"Zm00001d043431","chr3",199612257,9.45377928206739e-05
"chr6",159765050,159781950,3,"Zm00001d038551;Zm00001d038552;Zm00001d038553","chr6",159771907,9.49582617316075e-05
"chr5",89584750,89615650,1,"Zm00001d015427","chr5",89586148,9.66124487577722e-05
"chr1",304248750,304274550,2,"Zm00001d034866;Zm00001d034867","chr1",304252074,9.70996006622805e-05
"chr3",25903450,25958950,1,"Zm00001d040076","chr3",25958613,9.82036960444499e-05
"chr1",17033150,17102550,1,"Zm00001d027898","chr1",17063598,9.90519052415055e-05
"chr4",136333350,136624150,5,"Zm00001d051004;Zm00001d051005;Zm00001d051007;Zm00001d051008;Zm00001d051009","chr4",136344376,9.91542620987095e-05
"chr1",94337750,94391650,3,"Zm00001d029918;Zm00001d029919;Zm00001d029920","chr1",94344644,0.000100231298120644
"chr1",268081350,268255650,3,"Zm00001d033597;Zm00001d033598;Zm00001d033600","chr1",268085877,0.000100235207900797
"chr4",26524150,26594350,1,"Zm00001d049329","chr4",26562528,0.000101203075653531
"chr4",21143050,21391650,5,"Zm00001d049218;Zm00001d049219;Zm00001d049220;Zm00001d049221;Zm00001d049222","chr4",21274687,0.000102197156154338
"chr5",65698050,65709350,0,"","chr5",65709158,0.000103673866570649
"chr2",163219150,163301450,1,"Zm00001d005199","chr2",163244412,0.000103920036175781
"chr2",50147350,50191450,1,"Zm00001d003614","chr2",50155208,0.000104290363368554
"chr3",189079450,189104950,1,"Zm00001d043093","chr3",189104838,0.000104438925602832
"chr1",172718350,172805750,4,"Zm00001d030998;Zm00001d030999;Zm00001d031000;Zm00001d031001","chr1",172720691,0.000104449155649877
