chrom,start,end,GeneCount,unlist(genhits),BP,P,DroughtHitBase,DroughtHitP
chr3,36015650,36028150,3,Zm00001d040291;Zm00001d040292;Zm00001d040293,36017127,4.71092901039038e-09,36026220,3.09774621018534e-06
chr3,54002050,54019350,1,Zm00001d040614,54004898,4.87201603911292e-09,54004866,1.57455135627676e-06
chr4,45024250,45420450,5,Zm00001d049798;Zm00001d049800;Zm00001d049801;Zm00001d049803;Zm00001d049804,45379008,5.43659577229508e-09,45379008,1.94831083885078e-05
chr2,242278950,242355950,1,Zm00001d007911,242342396,5.79897193773194e-09,242342628,2.93068909113145e-06
chr3,214594350,214615050,1,Zm00001d043950,214608425,6.09048399992874e-09,214607583,0.000154563163475888
chr8,87050850,87430150,3,Zm00001d009880;Zm00001d009881;Zm00001d009883,87060177,6.33270225532312e-09,87429586,6.79870597867382e-05
chr9,51114450,51118450,1,Zm00001d045974,51115206,8.12161239377001e-09,51115160,4.20782543584544e-05
chr3,210152450,210180250,2,Zm00001d043784;Zm00001d043785,210171350,1.03250951398934e-08,210169964,0.000100550978507329
chr2,211442550,211498850,2,Zm00001d006580;Zm00001d006581,211471380,1.33993552322161e-08,211464377,7.54088147169083e-07
chr1,77118550,77157650,1,Zm00001d029575,77126882,1.38390736414716e-08,77126190,0.000129846542113565
chr5,2436150,2437250,1,Zm00001d012964,2437234,1.40588248512696e-08,2437240,7.1846141887257e-05
chr4,6698450,6813950,5,Zm00001d048867;Zm00001d048868;Zm00001d048870;Zm00001d048871;Zm00001d048872,6764402,1.40588248513729e-08,6782946,2.32684895294557e-05
chr7,158093750,158098750,1,Zm00001d021613,158097280,1.40588248513729e-08,158097289,0.000106316884622182
chr3,4129450,4150950,1,Zm00001d039434,4141326,1.50432119431529e-08,4141007,8.7361188930565e-05
chr4,227867550,228121750,2,Zm00001d053371;Zm00001d053372,228096046,1.52578572062362e-08,227959802,3.91476649544884e-05
chr9,110227650,110232850,1,Zm00001d046913,110229521,1.73869387268309e-08,110232375,1.47224899178635e-05
chr2,28953150,29001350,4,Zm00001d002991;Zm00001d002992;Zm00001d002993;Zm00001d002994,28958538,1.79797107674847e-08,28972870,2.97920428553874e-05
chr3,3607850,3617050,2,Zm00001d039406;Zm00001d039407,3614998,2.10165309295616e-08,3615412,3.07545618432693e-05
chr3,204487750,204497950,2,Zm00001d043589;Zm00001d043590,204489838,2.71908023892416e-08,204497929,1.94119609417039e-05
chr2,185590050,185676350,3,Zm00001d005742;Zm00001d005743;Zm00001d005744,185614159,3.06513901060742e-08,185596953,7.22115653570652e-06
chr7,127855150,128166450,4,Zm00001d020679;Zm00001d020680;Zm00001d020681;Zm00001d020682,127860920,3.08558321002181e-08,127879876,4.89831304519285e-06
chr10,130671650,130686350,1,Zm00001d025821,130677574,3.1487478418771e-08,130678089,1.52757274535806e-05
chr5,8057350,8062450,0,,8060232,3.18605907358131e-08,8061444,1.68179582137356e-06
chr4,243744750,243963750,12,Zm00001d053930;Zm00001d053931;Zm00001d053932;Zm00001d053933;Zm00001d053934;Zm00001d053935;Zm00001d053936;Zm00001d053938;Zm00001d053939;Zm00001d053940;Zm00001d053941;Zm00001d053942,243771461,3.39573841394245e-08,243764184,0.000146049534536019
